"country","v2productname","total_units_sold"
"Australia","Android Sticker Sheet Ultra Removable","2"
"Austria","Google Car Clip Phone Holder","1"
"Belarus","Google Stylus Pen w/ LED Light","2"
"Belgium","Google 17 oz Double Wall Stainless Steel Insulated Bottle","2"
"Bulgaria","YouTube Men's Vintage Tank","3"
"Canada","YouTube Leatherette Notebook Combo","42"
"Chile","Sport Bag","2"
"Colombia","YouTube Men's 3/4 Sleeve Henley","6"
"Czechia","Google Snapback Hat Black","167"
"Denmark","26 oz Double Wall Insulated Bottle","1"
"Dominican Republic","Google Men's Vintage Badge Tee Black","8"
"Egypt","Android RFID Journal","10"
"Finland","Android Onesie Gold","5"
"France","Seat Pack Organizer","4"
"Germany","22 oz YouTube Bottle Infuser","12"
"Guatemala","YouTube Twill Cap","1"
"Hong Kong","Google Device Stand","120"
"India","Keyboard DOT Sticker","2"
"India","Google Youth Short Sleeve T-shirt Royal Blue","2"
"Indonesia","Google Rucksack","3"
"Ireland","Google Laptop Backpack","2"
"Israel","Google Men's Vintage Tank","1"
"Japan","Google Lunch Bag","27"
"Maldives","Google Men's Performance Full Zip Jacket Black","2"
"Mexico","Nest® Cam Indoor Security Camera - USA","10"
"Netherlands","Android Men's Vintage Tank","5"
"Norway","Google Women's Short Sleeve Hero Tee Black","1"
"Panama","Google Men's Short Sleeve Hero Tee Light Blue","1"
"Portugal","Large Zipper Top Tote Bag","1"
"Romania","8 pc Android Sticker Sheet","2"
"Russia","YouTube Luggage Tag","4"
"Singapore","Nest® Protect Smoke + CO White Battery Alarm-USA","3"
"South Korea","Waze Dress Socks","2"
"Spain","Nest® Protect Smoke + CO White Wired Alarm-USA","1"
"Sri Lanka","YouTube Men's 3/4 Sleeve Henley","4"
"Sweden","Google Women's Short Sleeve Hero Tee Sky Blue","4"
"Switzerland","YouTube Men's 3/4 Sleeve Henley","4"
"Taiwan","Spiral Notebook and Pen Set","16"
"Thailand","26 oz Double Wall Insulated Bottle","3"
"United Kingdom","Google Rucksack","5"
"United States","Google Collapsible Pet Bowl","11328"
"United States","7&quot; Dog Frisbee","11328"
"Uruguay","Google Vintage Henley Grey/Black","1"
"Vietnam","YouTube RFID Journal","2"
